"Video"	"Description"	"Keywords"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula2/dcc119_aula2.xml	Algoritmos Aula 2	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, estruturas de Controle, Estruturas condicionais
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula3/dcc119_aula3.xml	Algoritmos Aula 3	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, estruturas de Controle, Estruturas de RepetiçaÞo
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula4/dcc119_aula4.xml	Algoritmos Aula 4	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, Subrotinas
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula5/dcc119_aula5.xml	Algoritmos Aula 5	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, Subrotinas, estruturas de repetiçaÞo, Vetores
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula6/dcc119_aula6.xml	Algoritmos Aula 6	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, Subrotinas, estruturas de repetiçaÞo, Vetores de caracteres, char, caractere
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula7/dcc119_aula7.xml	Algoritmos Aula 7	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, Subrotinas, estruturas de repetiçaÞo, Vetores de caracteres, char, caractere
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula8/dcc119_aula8.xml	Algoritimos Aula 8	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, Subrotinas, Structs, Registros
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula9/dcc119_aula9.xml	Algoritmos Aula 9	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, Subrotinas, Recursividade, Fatorial
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/aula_teste/dcc119_aulateste.xml	Algoritmos Aula teste	Algoritmos, tipos de dados, variaveis, linguagem de programaçao, linguagem c, pseudo linguagem, estruturas de Controle, Estruturas de RepetiçaÞo
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/Exercicio_01/video.xml	"Algoritmos exercicio 1
"	Algoritmos, tipos de dados, variaveis, linguagem c, Fisica Cinematica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/dcc119/Exercicio_02/Ex02.xml	"Algoritmos exercicio 2
"	Algoritmos, tipos de dados, variaveis, linguagem c, estruturas de repetiçaÞo, numeros primos
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/est029/aula1/aula1.xml	Estatistica Aula 1	Principio Fundamental da Contagem, Fatorial, Arranjo, permutaçaÞo, combinaçaÞo
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/est029/aula2/aula2.xml	Estatistica Aula 2	Probabilidade, Evento, espaço amostral, probabilidade condicional, teorema da probabilidade total, teorema de bayes, inferencia baysiana
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/fisica/fisica2/cap12parte1/grav1.xml	Gravitaçao Aula 1	Fisica, Universo, Copermico, corpos celestes, Leis de Kepler, planetas, elipses, sol, teoria eliocentrica, circulos
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/fisica/fisica2/cap12parte2/grav2.xml	GravitaçaÞo Aula 2	GravitaçaÞo Universal, newton, massa terra, Newton, cavendish, Universo
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/fisica/fisica2/cap14/fluidos.xml	Fisica 2 - Mecânica dos Fuidos	Fuidos, Densidade, massa, Pressao, Pressao Atmosferica, Trabalho, Força, Peso, Volume
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/fisica/fisica2/cap15parte1/ondassergio.xml	Fisica2 - Ondas Mecanicas	Ondas, Interferencias, onda estacionaria, derivada, derivadas parciais, derivada de segunda ordem
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/fisica/fisica2/cap17/temperaturaecalor.xml	Fisica2 - Calor e temperatura	Calor, Temperatura, PressaÞo, termometro, Grau Celsius, Grau Farenheit, Kelvin, Dilataçao termica, Calor Especifico, ebuliçao, caloria, Transferência de Calor, Conduçao, ConvecçaÞo, RadiaçaÞo
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/fisica/fisica2/cap18parte2/Gil.xml	Fisica2 - Calor Especifico	Calor, Temperatura, Calor Específicico, molécula, átomo, pressaÞo, Diagrama de fase,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula1/qui125_aula1.xml	Quimica125 - Aula1	"Materia, Atomos, universo, carga eletrica, 
"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula2/qui125_aula2.xml	Quimica125 - Aula2	Atomos. Protons, Neutons, eletrons, rutherford, Energia, radiaçaÞo
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula3/qui125_aula3.xml	Quimica125 - Aula3	Átomo, Bohr, Protons, Neutrons, Eletrons, Energia
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula4/qui125_aula4.xml	"Quimica125 - Aula4
"	Atomo, Bohr, Protos, Neutrons, Eletrons
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula5/qui125_aula5.xml	Quimica125 - Aula5	Atomo, Orbital, Elentrons, Mecanica Quantica, Mecanica classica, EquaçaÞo da Onda, FunçaÞo da Onda
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula6/qui125_aula6.xml	Quimica125 - Aula6	Tabela periodica, Historia da tabela periodica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula7/qui125_aula7.xml	Quimica125 - Aula7	Tabela periodica, familias, grupos da tabela periodica, carga eletrica, nucleo, raio atomico
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula8/qui125_aula8.xml	Quimica125 - Aula8	Tabela periodica Afinidade Eletronica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula9/qui125_aula9.xml	Quimica125 - Aula9	LigaçaÞo Quimica, LigaçaÞo Covalente, LigaçaÞo ionica, LigaçaÞo Metálica, ligaçaÞo de hidrogenio, Energia, Energia Potencial
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula10/qui125_aula10.xml	Quimica125 - Aula10	LigaçaÞo Iônica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui125/aula16/qui125_aula16.xml	Quimica125 - Aula16	ReaçoÞes Quimicas Acidos, Bases, Oxidos, Reagentes
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui131/aula1/quim131_aula1.xml	Quimica131 - Aula 1	Estrutura Atomica
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui131/aula2/quim131_aula2.xml	Quimica131 - Aula 2	Estrutura Atomica, radiaçao, energia, luz, espectro, foton
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/qui131/aula3/quim131_aula3.xml	Quimica131 - Aula 3	Estrutura Atômica, Valencia, particulas subatômicas
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/quimica/orbitais_moleculares/emanoel.xml	"Orbitais Moleculares
"	Orbital molecular, Camada de Valencia, eletron, Potencial eletrico, Estrutura Atômica, Energia, Principio de ExclusaÞo de Pauli, Orbital Atômico, Ordem de LigaçaÞo, Teoria do Orbital Molecular, Regra de Hund
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula00/Aula_00.xml	Circuitos Digitais -Aula 00	Circuitos Digitais,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula1/Video1.xml	Circuitos Digitais -Aula  1	Circuitos Digitais, Sistemas Digitais , RepresentaçaÞo Númericas, Estrutura de Dados, Calculo  
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula2/video2.xml	Circuitos Digitais -Aula 2	Sistemas de NumeraçaÞo Digitais, Circuitos Lógicos, Circuitos Integrados, Circuitos Combinacionais, Circuito Sequenciais, Computadores Digitais,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula3/video3.xml	Circuitos Digitais- Aula 3	Circuitos Digitais,Sistemas de NumeraçaÞo, ConversaÞo Binária, MSB, Algoritmos
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula4/video4.xml	Circuitos Digitais- Aula 4	Sistemas de NumeraçaÞo, ConversaÞo Binária, ConversaÞo Hexadecimal,  Código de Gray, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula5/video5.xml	Circuitos Digitais- Aula 5	Circuitos Digitais, ASCII, ConversaÞo Hexadecimal, Bit de paridade
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula6/dcc122_aula6.xml	Circuitos Digitais- Aula 6	 Circuitos Lógicos, Constantes e variáveis booleanas, Tabela verdade, OperaçoÞes Lógicas, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula7/video7.xml	Circuitos Digitais- Aula 7	Circuitos Lógicos, OperaçoÞes Lógicas, Tabela Verdade, Constantes e variáveis booleanas, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula8/dcc122_aula8.xml	CIrcuitos Digitais- Aula 8	SimplificaçaÞo de Sistemas, Variáveis Lógicas, Regra da AbsorçaÞo, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula9/Aula9.xml	Circuitos Digitais- Aula 9	Teoremas de DeMorgan, SimplificaçaÞo de Sistemas, Universalidade das portas NAND, Conceito de estado lógico ativo, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula10/aula_10.xml	Circuitos Digitais- Aula 10	Familias Lógicas, Circuios Integrados, Transistores, Circuitos Lógicos,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula11/video11.xml	Circuitos Digitais- Aula 11	Maxterms e Minterms, Teoremas da AbsorçaÞo, OperaçoÞes Lógicas, SimplificaçaÞo de Circuitos Lógicos, Teoremas de DeMorgan, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula12/video12.xml	Circuitos Digitais- Aula 12	SimplificaçaÞo Algébrica de Circuitos, Maxterms e Minterms, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula13/Aula13.xml	Circuitos Digitais- Aula 13	SimplificaçaÞo de Circuitos Lógicos, Mapa de Karnaugh, Lógicas de Relevância, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula14.1/Aula14.xml	Circuitos Digitais- Aula 14.1	OperaçoÞes Lógicas, Comparador de Igualdade e Desigualdade, Bit de paridade, Dispositivos Lógicos Programavél, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula15/video15.xml	Circuitos Digitais- Aula 15	Flip-Flop , Dispositivos correlatos,  Circuitos Sequênciais, Set-reset, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula16/video16.xml	Circuitos Digitais- Aula 16	Filp-Flop , Dispositivos Correlatos, Cursos Digitais, Sinais de Clocks, Flip-Flop SR
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula17/Aula17.xml	Circuitos Digitais- Aula 17	Flip-Flop , Dispositivos Correlatos, Flip-Flop JK, Entradas Assincronas, 
(naÞo encontrado e naÞo inserido no <qodra:benchmarcks>	Circuitos Digitais- Aula 18*	Flip-Flop , Dispositivos Correlatos, TemporizaçoÞes em Flip-Flop, Frequência de Clock, Circuitos Geradores , Multivibrator Monostable,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula19/video19.xml	Circuitos Digitais- Aula 19	Contadores, Registradores, Contadores Assincronos,Contadores Sincronos, ConstruçaÞo de Contatores,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula20/video20.xml>	Circuitos Digitais- Aula 20	Contadores , Registradores, Contadores Crescentes e Decrescente,CI de Contadores, Contadores Sincronos,Flip-Flop,
(naÞo encontrado e naÞo inserido no <qodra:benchmarcks>)	Circuitos Digitais- Aula 21*	Contadores , Registradores, Contadores Sincronos, Maquinas de Estado, Flip-Flop, Contador Autocorretor, Tabela de TranscriçaÞo de Estados, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula22_1/Aula_22.xml	Circuitos Digitais- Aula 22	Contadores, Registradores, Transferências de dados, ConstruçaÞo de Registradores, Sinal de Clock, Registradores de Deslocamento, Flip-Flop, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula23/Aula_23.xml	Circuitos Digitais- Aula 23	Circuitos Lógicos MSI, Circuito Somador Completo, Codificadores, Decodificadores,  
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula24/Aula_24.xml	Circuitos Digitais- Aula 24	Circuitos Lógicos MSI, Multiplexadores, Drive BCD para 7 seguimentos, Decodificadores, Codidicadores, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula25/Aula_25.xml	Circuitos Digitais- Aula 25	"Circuitos Lógicos MSI, Demultiplexadores, Comparadores de Magnitudes, Conversores de Códigos, Barramento 
de Dados, Codificadores, Decodificadores,Sinal de Clock"
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula26/video26.xml	Circuitos Digitais- Aula 26	Dispositivos de Memória, Conceitos de Memória, Terminologias de Memória, Memória Auxiliar ,Memória Principal, Célula de energia, Memória RAM, Memória Estática, Memória Dinâmica, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula27/video27.xml	Circuitos Digitais- Aula 27	Dispositvos de Memória, OperaçaÞo de Memória, CPU e Memória, Barramento de Endereço. Barramento de Dados, Barramento de Controle, Memória ROM, MROM , PROM,  EPROM, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula28/video28.xml	Circuitos Digitais- Aula 28	Dispositvos de Memória, Memórias Flash,  Memória Estática, Memória Dinâmica , Memória ROM, Funcionamento da Memória, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/ciencias_exatas/DCC122/Aula29/Aula_29.xml	Circuitos Digitais- Aula 29	Dispositvos Lógicos Programavéis, Linguagem de DescriçaÞo de Hardware, HDL, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/treinamento/matadm2.xml	ConstruçaÞo da Ideia de FunçaÞo	FunçaÞo, Diagrama, Gráfico, Análise de gráficos, Análise de funçoÞes, CriaçaÞo de funçoÞes, Idéia de FunçaÞo, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula0/eadqui025_aula0.xml	EADQUI025-Química Orgânica 2- Aula 0	
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula1/eadqui025_aula1.xml	EADQUI025-Química Orgânica 2- Aula 1	Compostos Insaturados Conjugados, LigaçaÞo Simples, LigaçoÞes Duplas, LigaçoÞes Químicas, Nomenclatura de Compostos,IUPAC,  Catalisador, Lei de Hess, Orbitais, HibridizaçaÞo, Geometria Molecular, Comprimento de LigaçaÞo, ConjugaçaÞo de Elétrons, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula1-parte3/eadqui025-aula1-parte3.xml	EADQUI025-Química Orgânica 2- Aula 1 part3	Compostos Insaturados Conjugados, LigaçoÞes Duplas, Átomos, Elétrons, Markovnikov, Carbocátion,  FormaçaÞo de Produto, Produto de AdiçaÞo, Produto Majoritário, Temperatura, Energia, Barreira de Energia, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui025/aula2/eadqui025_aula2.xml	EADQUI025-Química Orgânica 2- Aula 2	Compostos Insaturados Conjugados, Carbono Alílicos, LigaçoÞes Duplas, Nucleófilo, Carbono Vilílico, LigaçaÞo Covalente, Orbitais Moleculáres, LigaçaÞo PI, Radical, Ressonância, Flechas de Química, Átomo, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula1/eadqui030_aula1.xml	EADQUI030- Fundamentos de Química Analítica- Aula 1	Propriedades de SoluçoÞes, SoluçaÞo, Solvente, Substâncias Químicas, Solvente Universal, Condutividade Elétrica, Elet?olitos, NaÞo-Eletrólitos, 
(naÞo encontrado e naÞo inserido no <qodra:benchmarcks>	EADQUI030- Fundamentos de Química Analítica- Aula 2	Equilibrio Ácido-Base, Força Iônica, Coeficiente de Atividade , Principio de Le Chatelier, Constante de Equilíbrio, Solvente, Catalisadores, Produto Iônico, SoluçaÞo Ácida, SoluçaÞo Básica, Ácido Fraco, Ácido Forte, Base Forte, Base Fraca,
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula4e5/eadqui030_aula4e5.xml	EADQUI030- Fundamentos de Química Analítica- Aula 4e5	Ânion, Ácido, Mol, Constante Ácida, Constante Básica, Grau de IonizaçaÞo, Constante de DissocaçaÞo, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula67e8/eadqui030-aula67e8.xml	EADQUI030- Fundamentos de Química Analítica- Aula 6,7 e 8	Equilibrio Ácido-Base, PH, Hid?olise, Mol, Sais, Bases, Ácidos, Constante de dissociaçaÞo, Costante Ácida, SoluçaÞo TampaÞo, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui030/aula9/eadqui030_aula9.xml	EADQUI030- Fundamentos de Química Analítica- Aula 9	Preciptiado , Solubilidade, Lei da açaÞo das massas, ConcentraçaÞo, Produto de Solubilidade, Produto Iônico, PH, 
http://videoaula.rnp.br/rioflashclient.php?xmlfile=//dados/conversao_html5/instituicao/ufjf/licenciatura_quimica/eadqui056/Aula1/video_barbara.xml	EADQUI056- Química Inorgânica- Aula 1	Nomenclatura dos Orgânometálico, Nomenclatura, Compostos de coordenaçaÞo, 
