Video,Keyword,Resource
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,,
Video_016,,
,Sistemas de equaçoÞes lineares,http://pt.dbpedia.org/resource/Sistema_de_equa%C3%A7%C3%B5es_lineares
,EliminaçaÞo de Gauss,http://pt.dbpedia.org/resource/Elimina%C3%A7%C3%A3o_de_Gauss
,Coeficientes,http://pt.dbpedia.org/resource/Coeficiente
,Arredondamento,http://pt.dbpedia.org/resource/Arredondamento
,Matriz,http://pt.dbpedia.org/resource/Matriz_(matem%C3%A1tica)
,Módulo,http://pt.dbpedia.org/resource/Valor_absoluto
,Matriz triangular,http://pt.dbpedia.org/resource/Matriz_triangular
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,,
Video_017,,
,EliminaçaÞo de Gauss,http://pt.dbpedia.org/resource/Sistema_de_equa%C3%A7%C3%B5es_lineares
,Sistemas de equaçoÞes lineares,http://pt.dbpedia.org/resource/Sistema_de_equa%C3%A7%C3%B5es_lineares
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Coeficiente,http://pt.dbpedia.org/resource/Coeficiente
,Matriz,http://pt.dbpedia.org/resource/Matriz_(matem%C3%A1tica)
,Arredondamento,http://pt.dbpedia.org/resource/Arredondamento
,Valor absoluto,http://pt.dbpedia.org/resource/Valor_absoluto
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Módulo,http://pt.dbpedia.org/resource/Valor_absoluto
,,
Video_018,,
,Modelo entidade relacionamento,http://pt.dbpedia.org/resource/Modelo_entidade_relacionamento
,Herança,http://pt.dbpedia.org/resource/Heran%C3%A7a_(programa%C3%A7%C3%A3o)
,Objeto,http://pt.dbpedia.org/resource/Objeto_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,Classes,http://pt.dbpedia.org/resource/Classe_(programa%C3%A7%C3%A3o)
,Atributo,http://pt.dbpedia.org/resource/Atributo_(programa%C3%A7%C3%A3o)
,Banco de dados relacionais,http://pt.dbpedia.org/resource/Banco_de_dados_relacional
,Banco de dados,http://pt.dbpedia.org/resource/Banco_de_dados
,,
Video_019,,
,FunçaÞo,http://pt.dbpedia.org/resource/Fun%C3%A7%C3%A3o_(matem%C3%A1tica)
,Gráfico,http://pt.dbpedia.org/resouce/Gr%C3%A1fico
,,
Video_020,,
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Linguagem de programaçaÞo,http://pt.dbpedia.org/resource/Linguagem_de_programa%C3%A7%C3%A3o
,Semântica,http://pt.dbpedia.org/resource/Sem%C3%A2ntica_formal
,Constante,http://pt.dbpedia.org/resource/Constante_(programa%C3%A7%C3%A3o)
,Programa,http://pt.dbpedia.org/resource/Programa_de_computador
,Memória,http://pt.dbpedia.org/resource/Mem%C3%B3ria_(inform%C3%A1tica)
,PHP,http://pt.dbpedia.org/resource/PHP
,Linguagem C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Pseudocódigo,http://pt.dbpedia.org/resource/Pseudoc%C3%B3digo
,Java,http://pt.dbpedia.org/resource/Java_(linguagem_de_programa%C3%A7%C3%A3o)
,Inteiro,http://pt.dbpedia.org/resource/Inteiro_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,Tabela verdade,http://pt.dbpedia.org/resource/Tabela_verdade
,Comando,http://pt.dbpedia.org/resource/Comando_(inform%C3%A1tica)
,,
Video_021,,
,LigaçoÞes,http://pt.dbpedia.org/resource/Liga%C3%A7%C3%A3o_qu%C3%ADmica
,Compostos insaturados,http://pt.dbpedia.org/resource/Composto_insaturado
,Carbonos,http://pt.dbpedia.org/resource/Carbono
,Alcenos,http://pt.dbpedia.org/resource/Alceno
,Geometria,http://pt.dbpedia.org/resource/Geometria_molecular
,Nomenclatura,http://pt.dbpedia.org/resource/Nomenclatura_IUPAC
,LigaçoÞes pi,http://pt.dbpedia.org/resource/Liga%C3%A7%C3%A3o_pi
,Lei de Hess,http://pt.dbpedia.org/resource/Lei_de_Hess
,Kilojoule,http://pt.dbpedia.org/resource/Joule
,Orbital,http://pt.dbpedia.org/resource/Orbital_at%C3%B4mico
,Comprimento de ligaçaÞo,http://pt.dbpedia.org/resource/Dist%C3%A2ncia_de_liga%C3%A7%C3%A3o
,,
Video_022,,
,Compostos insaturados,http://pt.dbpedia.org/resource/Composto_insaturado
,Regra de Markovnikov,http://pt.dbpedia.org/resource/Regra_de_Markovnikov
,Carbocátion,http://pt.dbpedia.org/resource/Carboc%C3%A1tion
,AdiçaÞo,http://pt.dbpedia.org/resource/Rea%C3%A7%C3%A3o_de_adi%C3%A7%C3%A3o
,ReaçaÞo,http://pt.dbpedia.org/resource/Rea%C3%A7%C3%A3o_qu%C3%ADmica
,,
Video_023,,
,Compostos insaturados,http://pt.dbpedia.org/resource/Composto_insaturado
,Carbono,http://pt.dbpedia.org/resource/Carbono
,Alílico,http://pt.dbpedia.org/resource/Grupo_alilo
,ReaçaÞo,http://pt.dbpedia.org/resource/Rea%C3%A7%C3%A3o_qu%C3%ADmica
,Elétrons,http://pt.dbpedia.org/resource/El%C3%A9tron
,Ressonância,http://pt.dbpedia.org/resource/Resson%C3%A2ncia_(qu%C3%ADmica)
,Radicais,http://pt.dbpedia.org/resource/Radical_(qu%C3%ADmica)
,Estabilidade,http://pt.dbpedia.org/resource/Estabilidade_qu%C3%ADmica
,Hidrogénio,http://pt.dbpedia.org/resource/Hidrog%C3%A9nio
,,
Video_024,,
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Estrutura de Controle,http://pt.dbpedia.org/resource/Estrutura_de_controle
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Bloco,http://pt.dbpedia.org/resource/Bloco_(inform%C3%A1tica)
,Comando,http://pt.dbpedia.org/resource/Comando_(inform%C3%A1tica)
,Linguagem C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,,
Video_025,,
,Estrutura de Controle,http://pt.dbpedia.org/resource/Estrutura_de_controle
,Estrutura de RepetiçaÞo,http://pt.dbpedia.org/resource/Estrutura_de_repeti%C3%A7%C3%A3o
,Comandos,http://pt.dbpedia.org/resource/Comando_(inform%C3%A1tica)
,Bloco,http://pt.dbpedia.org/resource/Bloco_(inform%C3%A1tica)
,Flag,http://pt.dbpedia.org/resource/Flag
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Code Blocks,http://pt.dbpedia.org/resource/Code::Blocks
,Semântica,http://pt.dbpedia.org/resource/Sem%C3%A2ntica_formal
,,
Video_026,,
,Sub-rotina,http://pt.dbpedia.org/resource/Sub-rotina
,Procedimento,http://pt.dbpedia.org/resource/M%C3%A9todo
,Programa,http://pt.dbpedia.org/resource/Programa_de_computador
,C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Variável,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Bloco,http://pt.dbpedia.org/resource/Bloco_(inform%C3%A1tica)
,Variáveis,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Referência,http://pt.dbpedia.org/resource/Refer%C3%AAncia_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,Parâmetro,http://pt.dbpedia.org/resource/Par%C3%A2metro_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,Ponteiros,http://pt.dbpedia.org/resource/Ponteiro_(programa%C3%A7%C3%A3o)
,Inteiro,http://pt.dbpedia.org/resource/Inteiro_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,Memória,http://pt.dbpedia.org/resource/Mem%C3%B3ria_(inform%C3%A1tica)
,Algoritmos,http://pt.dbpedia.org/resource/Algoritmo
,Code Blocks,http://pt.dbpedia.org/resource/Code::Blocks
,,
Video_027,,
,Ácido ,http://pt.dbpedia.org/resource/%C3%81cido
,Base,http://pt.dbpedia.org/resource/Base_(qu%C3%ADmica)
,Constante de dissociaçaÞo,http://pt.dbpedia.org/resource/Constante_de_dissocia%C3%A7%C3%A3o
,Ph,http://pt.dbpedia.org/resource/PH
,,
Video_028,,
,Composto organometálico,http://pt.dbpedia.org/resource/Composto_organomet%C3%A1lico
,Elétrons,http://pt.dbpedia.org/resource/El%C3%A9tron
,Tabela,http://pt.dbpedia.org/resource/Tabela_peri%C3%B3dica
,Metal,http://pt.dbpedia.org/resource/Metal
,Valência,http://pt.dbpedia.org/resource/Val%C3%AAncia_(qu%C3%ADmica)
,Ligante,http://pt.dbpedia.org/resource/Ligante
,,
Video_029,,
,Vetores,http://pt.dbpedia.org/resource/Arranjo_(computa%C3%A7%C3%A3o)
,Estrutura de dados,http://pt.dbpedia.org/resource/Estrutura_de_dados
,Variáveis,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Constante,http://pt.dbpedia.org/resource/Constante_(programa%C3%A7%C3%A3o)
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Sub-rotinas,http://pt.dbpedia.org/resource/Sub-rotina
,C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Loop,http://pt.dbpedia.org/resource/Loop_(programa%C3%A7%C3%A3o)
,IteraçaÞo,http://pt.dbpedia.org/resource/Itera%C3%A7%C3%A3o
,,
Video_030,,
,Vetores,http://pt.dbpedia.org/resource/Arranjo_(computa%C3%A7%C3%A3o)
,Caracteres,http://pt.dbpedia.org/resource/Caractere
,C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Variáveis,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Strings,http://pt.dbpedia.org/resource/Cadeia_de_caracteres
,Cadeia de caracteres,http://pt.dbpedia.org/resource/Cadeia_de_caracteres
,Estrutura de repetiçaÞo,http://pt.dbpedia.org/resource/Estrutura_de_repeti%C3%A7%C3%A3o
,,
Video_031,,
,Matrizes,http://pt.dbpedia.org/resource/Matriz_(matem%C3%A1tica)
,Vetores,http://pt.dbpedia.org/resource/Arranjo_(computa%C3%A7%C3%A3o)
,Inteiro,http://pt.dbpedia.org/resource/Inteiro_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Variáveis,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Parâmetro,http://pt.dbpedia.org/resource/Par%C3%A2metro_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,,
Video_032,,
,Registros,http://pt.dbpedia.org/resource/Enupla
,Tipo de dados,http://pt.dbpedia.org/resource/Tipo_de_dado
,Cadeia de caracteres,http://pt.dbpedia.org/resource/Cadeia_de_caracteres
,Estrutura de dados,http://pt.dbpedia.org/resource/Estrutura_de_dados
,Linguagem,http://pt.dbpedia.org/resource/Linguagem_de_programa%C3%A7%C3%A3o
,Linguagem C,http://pt.dbpedia.org/resource/C_(linguagem_de_programa%C3%A7%C3%A3o)
,Variável,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,Vetor,http://pt.dbpedia.org/resource/Arranjo_(computa%C3%A7%C3%A3o)
,Sub-rotina,http://pt.dbpedia.org/resource/Sub-rotina
,,
Video_033,,
,Recursividade,http://pt.dbpedia.org/resource/Recursividade
,Algoritmos,http://pt.dbpedia.org/resource/Algoritmo
,Linguagens de programaçaÞo,http://pt.dbpedia.org/resource/Linguagem_de_programa%C3%A7%C3%A3o
,Parâmetro,http://pt.dbpedia.org/resource/Par%C3%A2metro_(ci%C3%AAncia_da_computa%C3%A7%C3%A3o)
,,
Video_034,,
,Contagem,http://pt.dbpedia.org/resource/Contagem_(matem%C3%A1tica)
,Conjunto,http://pt.dbpedia.org/resource/Conjunto
,Princípio fundamental da contagem,http://pt.dbpedia.org/resource/Princ%C3%ADpio_fundamental_da_contagem
,Arranjo,http://pt.dbpedia.org/resource/Combinat%C3%B3ria
,CombinaçaÞo,http://pt.dbpedia.org/resource/Combina%C3%A7%C3%A3o_(matem%C3%A1tica)
,,
Video_035,,
,Probabilidade,http://pt.dbpedia.org/resource/Probabilidade
,Espaço amostral,http://pt.dbpedia.org/resource/Espa%C3%A7o_amostral
,Evento,http://pt.dbpedia.org/resource/Evento_(teoria_das_probabilidades)
,Probabilidade geométrica,http://pt.dbpedia.org/resource/Probabilidade_geom%C3%A9trica
,Conjunto,http://pt.dbpedia.org/resource/Conjunto
,Teorema de Bayes,http://pt.dbpedia.org/resource/Teorema_de_Bayes
,,
Video_036,,
,Memória,http://pt.dbpedia.org/resource/Mem%C3%B3ria_(computador)
,Tempo,http://pt.dbpedia.org/resource/Tempo
,Bytes,http://pt.dbpedia.org/resource/Byte
,Cache,http://pt.dbpedia.org/resource/Cache
,Velocidade,http://pt.dbpedia.org/resource/Velocidade
,Armazanamento,http://pt.dbpedia.org/resource/Armazenamento
,Bits,http://pt.dbpedia.org/resource/Bit
,Memória Ram,http://pt.dbpedia.org/resource/RAM
,Capacidade de Armazenamento,http://pt.dbpedia.org/resource/Capacidade_de_dispositivos_de_armazenamento
,CPU,http://pt.dbpedia.org/resource/Unidade_central_de_processamento
,,
Video_037,,
,Algoritmos,http://pt.dbpedia.org/resource/Algoritmo
,Física,http://pt.dbpedia.org/resource/F%C3%ADsica
,Velocidade,http://pt.dbpedia.org/resource/Velocidade
,Tipo,http://pt.dbpedia.org/resource/Tipo_de_dado
,Variáveis,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,,
Video_038,,
,Algoritmo,http://pt.dbpedia.org/resource/Algoritmo
,Estrutura de repetiçaÞo,http://pt.dbpedia.org/resource/Estrutura_de_repeti%C3%A7%C3%A3o
,Variáveis,http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
,,
Video_039,,
,Fluidos,http://pt.dbpedia.org/resource/Fluido
,Gases,http://pt.dbpedia.org/resource/G%C3%A1s
,Líquidos,http://pt.dbpedia.org/resource/L%C3%ADquido
,Densidade,http://pt.dbpedia.org/resource/Densidade
,Volume,http://pt.dbpedia.org/resource/Volume
,Massa,http://pt.dbpedia.org/resource/Massa
,Temperatura,http://pt.dbpedia.org/resource/Temperatura
,PressaÞo,http://pt.dbpedia.org/resource/Press%C3%A3o
,Superfície,http://pt.dbpedia.org/resource/Superf%C3%ADcie
,Força,http://pt.dbpedia.org/resource/For%C3%A7a
,Pascal,http://pt.dbpedia.org/resource/Pascal_(unidade)
,Atmosfera,http://pt.dbpedia.org/resource/Atmosfera_(unidade)
,Lei de Pascal,http://pt.dbpedia.org/resource/Princ%C3%ADpio_de_Pascal
,Manômetro,http://pt.dbpedia.org/resource/Man%C3%B4metro
,Barómetro,http://pt.dbpedia.org/resource/Bar%C3%B3metro
,Empuxo,http://pt.dbpedia.org/resource/Empuxo
,Escoamento,http://pt.dbpedia.org/resource/Mec%C3%A2nica_dos_fluidos
,Mecânica dos Fluidos,http://pt.dbpedia.org/resource/Mec%C3%A2nica_dos_fluidos
,Escoamento Laminar,http://pt.dbpedia.org/resource/Fluxo_laminar
,Escoamento Turbulento,http://pt.dbpedia.org/resource/Turbul%C3%AAncia
,Fluido incompressível,http://pt.dbpedia.org/resource/Fluido_incompress%C3%ADvel
